"mu","gamma_ns","q","n_iter","burn","chains","ess_sec_S_plus","iact_S_plus","rhat_S_plus","ess_sec_S_minus","iact_S_minus","rhat_S_minus","ess_sec_S_log","iact_S_log","rhat_S_log","ess_sec_T_null","iact_T_null","rhat_T_null","rhat_max"
0,0,0.25,50000,10000,4,7.95930824890279,1.44008400175273,0.999990021590362,6.20224747868542,1.85649414479756,1.00002133085342,4.50755819607435,2.53151098059983,1.00001345231069,12.6906314753814,0.943221937642112,0.999984297680623,1.00002133085342
0.2,3.3938259843259,0.25,50000,10000,4,4.1402978783391,1.4559955400496,1.00001668574517,3.39573966266611,1.83850838239684,1.00003841814033,2.89544523342277,2.28015990882867,1.00003978693323,5.41068887004921,1.06479780776772,0.999999771222731,1.00003978693323
0.5,7.73911396878256,0.25,50000,10000,4,1.93379762717133,1.81936523877652,1.0000028054286,1.8772123659842,1.93216006932299,1.00002557537726,1.29618699737091,2.74916456250012,1.00010465847826,2.40512413534313,1.47241584294475,1.00000096110798,1.00010465847826
0.8,10.8104633164226,0.25,50000,10000,4,1.69126236144606,2.07482069124792,1.00005445809187,1.54799455872474,2.30848890470073,1.00006282861883,1.19621415002465,2.94700701558302,1.00009634797921,1.79732174531959,1.95116891632698,1.00002937755879,1.00009634797921
1,12.2366136064891,0.25,50000,10000,4,1.36639850960889,2.57962612970947,0.999990814443584,1.6910162058444,2.08402940690845,1.00000041464412,1.01928906766401,3.48631581483961,1.00000551110236,1.40154824409257,2.52352049292477,0.999988462732207,1.00000551110236
1.5,14.3987842061037,0.25,50000,10000,4,1.00935173647754,3.48055001931693,1.00008818121888,1.72936235787876,2.0723032302685,1.00002136754955,0.861506560165485,4.09858210469682,1.00012730675181,0.959529811976725,3.6540737305149,1.0000921163364,1.00012730675181
2,15.4782279375651,0.25,50000,10000,4,1.40544042563097,4.63348609094361,1.00015772422174,2.7223981020167,2.32842273379308,1.00005745616705,1.24772862063677,5.10533022242183,1.00014414581039,1.2710147235305,4.86201515551101,1.00010522007882,1.00015772422174
