"regime","point","p","a","b","mu","ess_sec_S_plus","ess_sec_S_minus","ess_sec_S_log","iact_S_plus","iact_S_minus","iact_S_log","rhat_max"
"TC-1","A",-0.5,1,1,1,90.9110261856251,90.0235642254433,89.0708332407423,1.31353520346395,1.32643866360811,1.34069080922686,1.00001310953474
"TC-1","B",1,1,1,1,105.694464967726,104.028577584674,103.783878175762,1.13036049644426,1.14875085196769,1.15143869068484,1.00000847319628
"TC-2","C",0.6,1,0,1,80.7135748094499,67.8879771835517,52.5311566112754,1.48306006027162,1.80088549656455,2.27897595731172,1.00000995843634
"DM-III","D",0.3,1,0,1,60.786857811801,29.4904426598848,17.7389173367551,1.97070467286259,4.71532544674432,6.75054177261685,1.0000939114432
"DM-I","E",-1.5,0,2,0,119.831874966919,104.371106841155,104.333791447189,1.02107686631007,1.17256787114321,1.1729457942486,0.999991763820388
"DM-II","F",-1.5,0,2,1,94.1521972705879,94.6365656708812,93.6998163376487,1.26730197740881,1.26049996066886,1.2731033173314,0.999991427307459
